occupation,p_women,p_white,p_black,p_asian,p_hispanic
administrativeassistant,100.0,47.0,11.0,6.9,35.2
author,35.0,75.2,6.1,18.2,0.5
bartender,37.2,49.5,4.2,10.5,46.8
biologist,45.4,50.1,12.2,25.2,17.9
buildinginspector,0.0,60.3,0.3,36.6,2.9
busdriver,32.8,18.0,18.3,35.8,30.1
butcher,0.0,81.2,0.0,0.2,23.9
chef,69.8,71.4,0.6,3.0,61.1
chemist,34.9,31.7,0.7,62.2,8.4
chiefexecutiveofficer,78.9,43.0,0.0,57.2,1.1
childcareworker,100.0,13.4,4.9,8.3,76.2
computerprogrammer,49.9,26.0,0.1,63.0,11.5
constructionworker,0.0,13.5,0.0,7.5,84.1
cook,14.4,3.7,0.0,1.4,96.0
craneoperator,0.0,63.5,5.4,13.1,18.5
custodian,8.3,16.8,5.8,4.1,74.8
customerservicerepresentative,77.5,44.8,12.4,19.9,51.0
doctor,26.4,20.2,0.4,49.2,30.3
drafter,57.2,44.8,0.1,29.8,46.7
electrician,0.0,35.7,0.1,31.7,33.3
engineer,78.1,39.1,0.1,48.3,15.2
garbagecollector,0.0,21.9,3.9,7.1,79.6
housekeeper,100.0,1.9,0.0,0.0,99.9
insurancesalesagent,79.0,9.6,1.0,67.5,22.3
labtech,22.2,2.0,0.5,26.2,71.5
librarian,88.6,73.4,0.0,26.6,0.0
mailcarrier,39.4,27.1,14.8,41.0,18.0
nurse,100.0,42.5,0.1,20.4,43.6
nursepracticioner,91.4,53.2,0.4,30.5,16.1
pharmacist,37.6,42.9,0.1,48.7,8.4
pilot,40.5,46.8,0.4,44.2,10.9
plumber,0.0,48.0,0.1,4.9,48.8
policeofficer,1.9,23.6,0.0,8.6,87.8
primaryschoolteacher,100.0,63.0,0.0,36.9,0.1
receptionist,100.0,49.6,2.7,3.8,47.4
roofer,0.0,10.7,0.0,15.9,73.6
securityguard,0.0,10.8,26.1,14.6,52.3
softwaredeveloper,84.8,8.0,0.1,85.4,7.0
specialedteacher,79.3,22.7,0.0,27.2,50.3
truckdriver,0.0,71.7,1.9,19.4,7.5
welder,0.0,83.6,10.0,2.3,11.2
